idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
2 wlan0 0x0 0 0 96194 483 20423 369 5301 98 90689 382 204 3 6188 142 13699 219 536 8
3 wlan0 0x0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 wlan0 0x0 1000 0 280972 1141 163382 1590 280644 1140 328 1 0 0 163038 1589 344 1 0 0
5 wlan0 0x0 1000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 wlan0 0x0 10008 0 5156 54 5196 111 5156 54 0 0 0 0 5196 111 0 0 0 0
7 wlan0 0x0 10008 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 wlan0 0x0 10020 0 8897 44 14901 63 8897 44 0 0 0 0 14901 63 0 0 0 0
9 wlan0 0x0 10020 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 wlan0 0x0 10021 0 1103 16 3728 83 1103 16 0 0 0 0 3728 83 0 0 0 0
11 wlan0 0x0 10021 1 828693 1025 158766 1030 796735 910 31958 115 0 0 151662 913 7104 117 0 0
12 wlan0 0x0 10023 0 80 2 280 7 80 2 0 0 0 0 280 7 0 0 0 0
13 wlan0 0x0 10023 1 5914 28 4245 33 5914 28 0 0 0 0 4245 33 0 0 0 0
14 wlan0 0x0 10035 0 7554 27 4477 35 7554 27 0 0 0 0 4477 35 0 0 0 0
15 wlan0 0x0 10035 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 wlan0 0x0 10064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 wlan0 0x0 10064 1 581 4 1409 10 581 4 0 0 0 0 1409 10 0 0 0 0
18 wlan0 0x0 10075 0 1902 17 3817 27 1902 17 0 0 0 0 3817 27 0 0 0 0
19 wlan0 0x0 10075 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 wlan0 0x0 10076 0 111 2 451 9 111 2 0 0 0 0 451 9 0 0 0 0
21 wlan0 0x0 10076 1 8070 20 8410 22 8070 20 0 0 0 0 8410 22 0 0 0 0
22 wlan0 0x0 10078 0 1256 4 803 6 1256 4 0 0 0 0 803 6 0 0 0 0
23 wlan0 0x0 10078 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 wlan0 0x0 10085 0 14669449 10289 459783 10124 14669449 10289 0 0 0 0 459783 10124 0 0 0 0
25 wlan0 0x0 10085 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 wlan0 0x0 10086 0 16018 35 8455 39 16018 35 0 0 0 0 8455 39 0 0 0 0
27 wlan0 0x0 10086 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 wlan0 0x0 10087 0 184586 154 23213 147 184586 154 0 0 0 0 23213 147 0 0 0 0
29 wlan0 0x0 10087 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 wlan0 0x0 10090 0 1066 19 4006 52 1066 19 0 0 0 0 4006 52 0 0 0 0
31 wlan0 0x0 10090 1 10024782 7098 233977 4089 10024782 7098 0 0 0 0 233977 4089 0 0 0 0
32 wlan0 0x0 10091 0 5743 79 37116 95 5743 79 0 0 0 0 37116 95 0 0 0 0
33 wlan0 0x0 10091 1 0 0 309 1 0 0 0 0 0 0 309 1 0 0 0 0
34 wlan0 0x0 10093 0 337 4 1558 10 337 4 0 0 0 0 1558 10 0 0 0 0
35 wlan0 0x0 10093 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 wlan0 0x0 10103 0 14731 69 18592 101 14731 69 0 0 0 0 18592 101 0 0 0 0
37 wlan0 0x0 10103 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 wlan0 0x0 10117 0 6158 82 6755 72 6158 82 0 0 0 0 6755 72 0 0 0 0
39 wlan0 0x0 10117 1 4681459 5486 295231 3154 4681459 5486 0 0 0 0 295231 3154 0 0 0 0
40 wlan0 0x953113ec00000000 10076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41 wlan0 0x953113ec00000000 10076 1 7345 16 7491 16 7345 16 0 0 0 0 7491 16 0 0 0 0
42 wlan0 0xa6b476e900000000 10086 0 15756 30 8144 32 15756 30 0 0 0 0 8144 32 0 0 0 0
43 wlan0 0xa6b476e900000000 10086 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44 wlan0 0xffffff0100000000 10085 0 14637328 10258 457288 10100 14637328 10258 0 0 0 0 457288 10100 0 0 0 0
45 wlan0 0xffffff0100000000 10085 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46 rmnet_data0 0x0 0 0 4307 36 3113 47 0 0 1715 13 2592 23 0 0 841 13 2272 34
